STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,10,495390,58900,413460,12290,445560,34910,455730,60960,1408080,499360,0,0,0,0,0,450,183760,1662108213,495390,1681742704,406400,486066557,480190,43238384,434660,101753448,423370,81066779,245940,9593420,139230,30465483,452980,539691330,80500,5847617,81710,5483683,16630,2570,18604,92220,2783529,366350,379044963,287520,19634491,2670,657,66200,3988864,131710,2197072,12640,128922,0,0,0,0,75940,8692760,456810,211984229,2140,234937,394700,112239242,58220,660118,430570,14691836,455310,128359342,158470,206933,281290,6127319,11090,210520,31240,17253,0,0,171540,11534682,435130,83399092,84670,13392205,78610,8499880,494440,1450788242,494980,451849522,106200,8557172,550,3080,361170,15905092,321160,12393940,23030,15023,0,0,0,0,0,0,8650,64209,188260,4828711,0,0,710,3912,2290,12797,490440,488897213,0,0,0,0,0,0,0,0,0,0,493650,435944434,494950,463168812,344300,4206938,452590,18263953,204900,41222235,288310,64738605,92560,12427126,219190,52311487
AL,0,2059880,855450,758160,403430,1844880,110380,1154060,1366660,4106990,1411350,46580,26380,4290,15910,7980,413000,503820,118875683,2052950,120418493,1708300,84006884,514350,836790,271140,1986535,249230,1575025,300300,357077,355540,3184257,237850,5598953,182330,3116486,426310,10598849,45050,45510,135689,307060,4280373,96480,6952911,466800,1542810,46870,11985,7080,163499,43540,339003,26530,125326,136250,146843,12070,29523,6430,171041,550270,13039384,166690,1362408,438980,2437976,95830,153914,436100,683864,547380,3446105,379580,130691,390500,2758095,8010,36325,18800,12198,33830,43541,13510,94694,477950,3879230,173310,1413529,16510,314759,1530060,81107864,1531370,15195799,24540,124093,43060,46450,617960,746768,70160,56509,99160,54600,131600,140733,133910,24344,325050,381643,23990,21747,251600,673051,93150,669914,101190,723394,42170,32010,1965550,18806197,495230,1377983,442060,1219391,334230,439471,137470,127465,36090,28175,1353070,14449033,1490000,15426105,28360,49825,34720,149346,387460,1949679,1620770,5288340,1590590,4720961,37690,567380
AL,1,25470,13920,9570,1110,18750,3520,17150,6660,39640,5770,520,310,10,200,0,1110,12690,-1709898,18540,-1687728,5210,181315,7780,34007,4510,32839,4130,24415,770,2874,9660,-153970,6310,90476,2080,27628,3380,44793,2930,120,416,40,147,4350,-382155,4930,22170,100,22,40,371,1400,8701,120,565,700,802,610,2130,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,2045,50,1719,990,320,150,89,0,0,0,0,30,14,0,0,90,52,0,0,2960,7175,4650,42992,4900,43306,20,43,12080,59647,2080,2449,1270,1640,880,1306,1430,1356,2640,2407,950,1957,4340,10343,110,212,20,60,2790,4528,11010,53833,10410,41222,760,12611
AL,2,277680,214200,24240,35790,240490,18880,135710,171210,279900,71390,9650,6130,380,3140,2820,48770,48490,1521342,277680,1561676,214600,1214469,31760,16842,16440,21681,14950,14736,2070,1265,44650,153949,14440,9703,11440,48945,24850,125914,2460,3600,9071,740,3439,2850,-9306,42640,40334,370,84,50,182,2760,10152,440,1383,3300,3004,2060,6372,60,46,10170,146963,8090,74966,2870,4374,5510,4163,4900,5571,9540,15920,5030,1384,4470,25418,110,523,130,67,560,721,150,178,6930,12436,4560,14094,270,1947,29030,50445,30570,7258,10,1003,3230,1200,1830,302,940,35,10,6,430,116,110,22,270,111,50,10,36490,29990,14170,112924,14980,115490,190,126,242690,272170,98320,136951,88230,119017,34570,24576,14610,13186,6990,4386,29740,6956,67450,37017,10,9,10,120,22730,11024,230400,245146,229450,242966,1180,2179
AL,3,525140,260230,75950,180460,476620,24610,290400,409230,979990,404400,16610,10620,630,5370,3640,163260,102030,8948167,525140,9069949,426060,7157112,58820,42341,24650,50961,21800,34546,8550,4686,99360,585965,20140,34683,26760,191627,77710,882274,5300,15660,44197,37970,69433,5710,6493,96960,121782,2550,598,130,962,5390,19712,2330,7320,15100,13177,1430,4001,120,125,38840,565672,27710,217699,17610,20404,17610,16316,18360,18078,37860,63339,20880,6055,16620,85699,390,2188,450,341,1940,2487,330,715,30030,96242,15570,86182,1100,7708,291620,1761701,293340,189096,60,223,13540,5033,96950,32866,2170,98,8090,2567,27060,14363,33980,5849,29380,9010,1890,844,75030,122604,39490,274189,40880,279559,15190,8823,499460,1808238,255240,941540,235980,847766,186800,258269,41410,38930,16560,10688,226410,156230,296760,290730,40,36,10,43,42600,43010,470770,1558834,468870,1554136,2550,4698
AL,4,499090,217990,136760,128470,448120,24960,269390,364840,985770,351970,12620,7430,880,4310,1520,119780,111870,17975478,499090,18151837,429020,14800240,89920,66500,39060,96046,34770,68635,40100,23448,66570,254302,31550,82895,35210,343536,98990,1800142,8250,11750,32613,90390,607508,10290,57417,94840,176359,11180,2704,340,2524,6860,32836,6410,22697,39850,41595,1340,3493,260,484,101840,1583107,51430,367361,72260,125650,25520,34232,62790,57772,101090,242778,61480,17823,57140,290728,1310,5421,1670,1675,8640,10823,680,1114,84150,343994,42870,291366,2840,19557,478920,8867970,477110,1083894,50,239,16630,12739,211550,187526,6870,467,29310,16980,40400,42241,78150,14988,118000,105332,7270,6639,38440,87049,27760,189377,28920,201723,18010,12034,487360,2065327,137450,296307,115150,250434,98920,137724,30700,28045,8390,8486,380550,896368,401630,1002910,90,75,30,18,77200,118469,419600,1175640,416120,1165299,4690,10341
AL,5,268380,88600,134270,37370,240640,13760,155950,174610,584040,181490,3820,1360,770,1700,0,43700,77540,16478079,268380,16636426,228870,12686684,81780,68484,38290,126270,34770,91771,53450,37350,41540,268131,31990,128749,29990,396234,72070,1823284,7210,6180,19970,64370,975409,10560,96632,69170,158347,8990,2252,380,3440,5060,32039,5120,22020,29870,33046,1670,3632,390,959,101090,1769192,35430,277757,80160,206979,18470,30779,77350,77308,100790,341363,67480,19218,70700,394743,1350,5431,2320,2168,10590,13866,820,1891,85530,415049,37650,288846,2660,21409,266990,10553664,266370,1464417,260,513,5440,11950,110230,162755,9040,869,17510,9639,22520,28635,21670,3485,73930,111531,5570,6369,27250,69668,5720,42415,7590,56387,5370,5043,264280,1796261,2140,736,1430,534,11440,15070,16190,14913,1330,1935,254440,1301662,257940,1385866,60,71,20,31,67140,153783,200670,559611,196720,546848,4980,12763
AL,6,170930,31870,124060,11960,154160,8660,101610,106280,425710,130790,1620,350,540,740,0,19880,53770,14807876,170930,14944159,146620,11095874,69890,65930,35290,138266,32310,102542,49610,40566,29900,257499,30130,158533,24570,433830,53390,1675519,6200,3790,13306,44440,907456,10360,135363,50440,136283,8160,2194,470,4690,3940,29440,3790,18716,20680,24005,660,1400,450,1425,80480,1601597,21100,176647,67020,235008,11940,23440,69460,79663,80350,361610,57780,17505,63500,403775,1190,4791,2420,1732,9280,13420,950,2040,70530,403903,25300,209199,2080,20599,170570,10390954,170250,1516436,720,1941,1880,6887,73520,126391,9220,1255,15410,8909,16880,22011,0,0,53530,88152,3330,3369,20620,59894,1170,7021,2320,15858,1870,2402,169170,1719091,0,0,0,0,1290,1908,11940,11034,170,236,168870,1390045,169420,1462980,80,60,30,75,48870,142905,121760,395706,118250,382768,4370,12938
AL,7,228470,23380,195600,7150,206890,12080,135210,116960,626920,202920,1580,190,950,440,0,15440,73170,30543433,228470,30853146,201390,22630901,123500,156229,73070,417597,68180,322138,108560,116774,45560,654423,64210,604772,38810,1020887,76920,3113361,9200,3940,14210,54340,1307344,25470,661079,80190,309713,13750,3686,1780,27762,8140,75176,6680,36691,26760,31214,4300,8495,1600,7625,157660,3743052,20870,202103,141570,769718,14300,35737,146100,227212,157560,1087519,121210,43938,132560,1018552,2550,9558,6860,4174,2830,2224,3620,9795,143840,1018464,37180,328604,4060,56496,228250,23368402,227990,3989819,3150,8280,1180,7110,98160,133343,22840,7066,24010,13789,24280,33353,0,0,49830,67427,4750,3630,32770,131610,180,996,1400,9611,1270,2554,226520,4167937,0,0,0,0,340,618,21190,20001,20,37,227500,3856476,227770,4018942,1400,442,690,322,90620,427996,137510,570806,130290,520393,9060,50414
AL,8,53190,4240,47520,940,48550,3220,38070,15300,151620,50920,160,0,130,30,0,1030,19650,14995855,53190,15279653,46700,9374132,40120,130833,30680,421775,29400,342029,30370,63827,14350,735008,29660,860546,11210,527853,16800,992324,2600,470,1820,12270,334753,18280,1588731,20500,283798,1670,417,2670,74491,6680,83803,1270,12190,0,0,0,0,1840,21634,49110,1897870,1980,39340,46610,513910,2280,8436,46590,140694,49100,685168,37720,18647,38440,417871,920,5404,3800,1583,0,0,4050,21085,46230,595854,8450,103079,2100,60187,53150,12533868,53140,2849677,17220,59720,160,1144,18900,24495,13400,13473,4350,2426,0,0,0,0,20,28,1000,648,13400,105001,0,0,180,1345,210,759,52590,2794311,0,0,0,0,0,0,0,0,0,0,53090,2825183,53170,2985117,19000,14034,23960,25536,29380,442963,23690,246943,18230,152814,6540,94129
